слово,частота,частота(%)
std,13,8.28026
word,10,6.36943
file,10,6.36943
data,6,3.82166
const,6,3.82166
filename,5,3.18471
processing,5,3.18471
frequency,4,2.54777
end,4,2.54777
pair,4,2.54777
begin,4,2.54777
words,4,2.54777
a,4,2.54777
return,3,1.91083
string,3,1.91083
float,3,1.91083
get,3,1.91083
auto,3,1.91083
include,3,1.91083
open,2,1.27389
2,2,1.27389
if,2,1.27389
map,2,1.27389
vector,2,1.27389
sort,2,1.27389
transform,2,1.27389
percent,2,1.27389
percentage,2,1.27389
second,2,1.27389
counter,2,1.27389
b,2,1.27389
as,2,1.27389
cerr,1,0.636943
close,1,0.636943
cast,1,0.636943
cannot,1,0.636943
sstream,1,0.636943
static,1,0.636943
back,1,0.636943
tolower,1,0.636943
tuple,1,0.636943
tuples,1,0.636943
txt,1,0.636943
and,1,0.636943
void,1,0.636943
while,1,0.636943
TXT,1,0.636943
100,1,0.636943
int,1,0.636943
from,1,0.636943
fstream,1,0.636943
first,1,0.636943
h,1,0.636943
extract,1,0.636943
ifstream,1,0.636943
in,1,0.636943
erase,1,0.636943
remove,1,0.636943
into,1,0.636943
is,1,0.636943
ispunct,1,0.636943
endl,1,0.636943
emplace,1,0.636943
descending,1,0.636943
count,1,0.636943
for,1,0.636943
